title,author,musicType
归离-原创,殇小默,原创
可能-可能西安城墙上有人誓言不分 可能要去到大理才算爱得认真,程响,流行
女儿情-完整好听版,吴静,影视
Cancer-My Chemical Romance,My Chemical Romance,流行
弦乐小夜曲-G大调第13号小夜曲-Eine kleine Nachtmusik-简单版,莫扎特,经典
勇气大爆发-原调完整版-心里种下一颗种子哒啦滴哒啦,贝乐虎,儿歌
Jump Up Super Star-超级马力欧 奥德赛主题曲,久保直人,流行
ROMA☆KiRA-浪漫杀手OP,YURiKA,动漫
姑娘在远方-简单版-回家探探儿时的那位姑娘 是否也像我一样远离了家乡,柯柯柯啊,流行
Always with me-千与千寻-原神风物之诗琴谱-原琴谱,久石让,原神-风物之诗琴谱
小兔子乖乖-原神风物之诗琴谱-原琴谱,小蓓蕾组合,原神-风物之诗琴谱
卡农 Canon-原神风物之诗琴谱-原琴谱,EOP,原神-风物之诗琴谱
小星星-初级版-原神风物之诗琴谱-原琴谱,法国民谣,原神-风物之诗琴谱
小星星-中级版-原神风物之诗琴谱-原琴谱,法国民谣,原神-风物之诗琴谱
Ceilings-Lizzy McAlpine,Lizzy McAlpine,流行
TQG-Karol G ft Shakira,Karol G,流行
哈纳斯湖畔-On the Lakeside of Hanasi,龚耀年,民乐
后来-原调简单版-后来是朋友的身份 后来玩笑也有分寸,夏婉安,流行
浏阳河-2019新编钢琴考级三级曲,朱立奇,民乐
上学歌-原神风物之诗琴谱-原琴谱,段福培,原神-风物之诗琴谱
Star Sky-原神风物之诗琴谱-原琴谱,Two Steps From Hell,原神-风物之诗琴谱
但愿人长久-邓丽君-原神风物之诗琴谱-原琴谱,邓丽君,原神-风物之诗琴谱
划船-原神风物之诗琴谱-原琴谱,EOP,原神-风物之诗琴谱
喀秋莎-原神风物之诗琴谱-原琴谱,勃兰切尔,原神-风物之诗琴谱
Fantasia-风之谷,久石让,影视
Tattoo-2023年欧洲歌唱大赛,Loreen,流行
孤枕难眠-周华健,周华健,流行
我落泪情绪零碎-精编钢琴独奏-周杰伦,周杰伦,流行
杨柳青-Green Willow Trees,龚耀年,民乐
YOU-寒蝉鸣泣之时-原神风物之诗琴谱-原琴谱,dai,原神-风物之诗琴谱
丢手绢-原神风物之诗琴谱-原琴谱,关鹤岩,原神-风物之诗琴谱
哦苏珊娜-原神风物之诗琴谱-原琴谱,斯蒂芬·福斯特,原神-风物之诗琴谱
白月光与朱砂痣-原神风物之诗琴谱-原琴谱,大籽,原神-风物之诗琴谱
青花瓷-周杰伦-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
Home-Undertale-传说之下,Toby Fox,轻音乐
Seven Nation Army-简单版-The White Stripes,The White Stripes,流行
尘大师-陈奕迅,陈奕迅,流行
棋子-周华健,周华健,流行
清江河-Clear River Qing,龚耀年,民乐
掀起你的盖头来-Lift Your Veil,龚耀年,民乐
种太阳-原神风物之诗琴谱-原琴谱,徐沛东,原神-风物之诗琴谱
小小葫芦娃-原神风物之诗琴谱-原琴谱,上海市少年宫合唱队,原神-风物之诗琴谱
桥边姑娘-原神风物之诗琴谱-原琴谱,海伦,原神-风物之诗琴谱
春天在哪里-原神风物之诗琴谱-原琴谱,潘振声,原神-风物之诗琴谱
虫儿飞-原神风物之诗琴谱-原琴谱,郑伊健,原神-风物之诗琴谱
Pine Apple Rag-菠萝拉格泰姆-Scott Joplin,Scott Joplin,经典
敬具-n-buna,n-buna,轻音乐
Innocent-天空之城,久石让,影视
我会等-简单版-我会等枯树生出芽 开出新的花,承桓,流行
五哥放羊-The Fifth Brother Keeping the Sheep,龚耀年,民乐
采蘑菇的小姑娘-原神风物之诗琴谱-原琴谱,李谷一,原神-风物之诗琴谱
皎洁的笑颜-Moonlike Smile-原神雪山音乐-原神风物之诗琴谱-原琴谱,陈致逸,原神-风物之诗琴谱
粉刷匠 Painters-原神风物之诗琴谱-原琴谱,列申斯卡,原神-风物之诗琴谱
小毛驴-原神风物之诗琴谱-原琴谱,未知,原神-风物之诗琴谱
本草纲目-周杰伦-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
LADY-米津玄师,米津玄师,流行
Stay-三声部好听版,Rihanna,流行
光るなら-简单版,Goose House,动漫
風景はせはしく明滅し-樱之刻标题曲,松本文纪,动漫
恨幸福来过-伴奏谱,林俊杰,流行
不该用情-莫叫姐姐-C调还原版,莫叫姐姐,流行
别看我只是一只羊-原神风物之诗琴谱-原琴谱,古倩敏,原神-风物之诗琴谱
友谊地久天长-原神风物之诗琴谱-原琴谱,罗伯特.彭斯,原神-风物之诗琴谱
两只老虎-原神风物之诗琴谱-原琴谱,法国儿歌,原神-风物之诗琴谱
卖报歌-原神风物之诗琴谱-原琴谱,聂耳,原神-风物之诗琴谱
兰亭序-周杰伦-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
Blank Space-好听版-Taylor Swift,Taylor Swift,流行
奇异恩典-Amazing Grace-唯美好听版,John Newton,经典
黑眉毛-Dark Eyebrows,龚耀年,民乐
年轻的朋友-The Young Friends,龚耀年,民乐
三十里铺-San Shi Li Pu,龚耀年,民乐
心中甜蜜的歌-Sweet Songs in My Heart,龚耀年,民乐
Resphoina-久石让,久石让,影视
铃芽之旅-简单完整版,周深,影视
Monsters-高还原版,周深,流行
国际歌-原神风物之诗琴谱-原琴谱,欧仁·鲍狄埃,原神-风物之诗琴谱
小红帽-原神风物之诗琴谱-原琴谱,儿歌,原神-风物之诗琴谱
沧海一声笑-原神风物之诗琴谱-原琴谱,黄沾,原神-风物之诗琴谱
爷爷为我打月饼-原神风物之诗琴谱-原琴谱,梁寒光,原神-风物之诗琴谱
甩葱歌-原神风物之诗琴谱-原琴谱,Loituma,原神-风物之诗琴谱
All I Want-歌舞青春音乐剧集OST,Olivia Rodrigo,影视
Da Capo-崩坏3印象曲,车子玉Ziyu Che,动漫
Todo-Pereza,Pereza,流行
只属于我-Only Me For You-天国的阶梯,Kim Hyun-ah,影视
棠梨煎雪-原神风物之诗琴谱-原琴谱,银临,原神-风物之诗琴谱
走绛州-Traveling to Jiangzhou,龚耀年,民乐
Two Ghosts-Harry Styles,Harry Styles,流行
Alone-Marshmello,Marshmello,流行
大鱼-华丽好听版,周深,影视
米卡角色演示背景音乐-米卡 绘羽的领行-原神风物之诗琴谱-原琴谱,miHoYo,原神-风物之诗琴谱
神里绫华角色演示背景音乐-风仪之舞-原神风物之诗琴谱-原琴谱,miHoYo,原神-风物之诗琴谱
Its Hard To Say Goodbye,Michael Ortega,轻音乐
The Rains of Castamere-简单版-权力的游戏凄绝神曲,Ramin Djawadi,影视
爱的供养-简单完整版,杨幂,影视
雪 Distance-简单版-可是雪飘进双眼 看不见你桥牌的谎言,Capper,流行
Call of Silence-进击的巨人-原神风物之诗琴谱-原琴谱,泽野弘之,原神-风物之诗琴谱
Da Capo-G调-原神风物之诗琴谱-原琴谱,车子玉Ziyu Che,原神-风物之诗琴谱
夢じゃなかった-铃芽之旅OST,RADWIMPS,影视
Eyes Closed-Ed Sheeran,Ed Sheeran,流行
パレード-游行,Yorushika,流行
向快乐出发,马雪阳,流行
VOODOO KINGDOM-JOJO的奇妙冒险 幻影之血-原神风物之诗琴谱-原琴谱,SOUL'd OUT,原神-风物之诗琴谱
傲骨佛心-造梦无双主题曲-原神风物之诗琴谱-原琴谱,KBShinya,原神-风物之诗琴谱
Heart of Courage-勇敢的心-Two Steps from Hell,Two Steps from Hell,流行
拉来罗-La Lai Luo,龚耀年,民乐
她说-完美原版,林俊杰,流行
谢幕-林俊杰,林俊杰,流行
自転車の二人-铃芽之旅OST,RADWIMPS,影视
夜萤火虫和你-原神风物之诗琴谱-原琴谱,AniFace,原神-风物之诗琴谱
白月光与朱砂痣-原神风物之诗琴谱-原琴谱,大籽,原神-风物之诗琴谱
不败的英雄-铠甲勇士刑天-原神风物之诗琴谱-原琴谱,唐俊迪,原神-风物之诗琴谱
Death of a Bachelor-Panic at the Disco,Panic! at the Disco,流行
底特律化身为人开场曲-Detroit Become Human Opening Theme,Philip Sheppard,轻音乐
井-张敬轩,张敬轩,流行
泡沫-还原好听版,邓紫棋,流行
静かな夜に 君と話そう-少女神域-少女天狱-原神风物之诗琴谱-原琴谱,坂本昌一郎,原神-风物之诗琴谱
Build Our Machine-班迪与墨水机-Bendy and the Ink Machine,DAGames,流行
Ezios Family-刺客信条2OST,Jesper Kyd,轻音乐
カナタハルカ-遥远的彼方-铃芽之旅主题曲,RADWIMPS,影视
南屏晚钟-钢琴伴奏谱,蔡琴,流行
你不是真正的快乐-完美独奏版,五月天,流行
打靶归来-原神风物之诗琴谱-原琴谱,王永泉,原神-风物之诗琴谱
大海啊故乡-原神风物之诗琴谱-原琴谱,王立平,原神-风物之诗琴谱
哆啦A梦之歌-ドラえもんのうた-原神风物之诗琴谱-原琴谱,菊池俊辅,原神-风物之诗琴谱
过火-原神风物之诗琴谱-原琴谱,张信哲,原神-风物之诗琴谱
欢乐颂-原神风物之诗琴谱-原琴谱,贝多芬,原神-风物之诗琴谱
江南-原神风物之诗琴谱-原琴谱,林俊杰,原神-风物之诗琴谱
铃儿响叮当-Jingle Bells-原神风物之诗琴谱-原琴谱,James Lord Pierpont,原神-风物之诗琴谱
龙卷风-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
梦中的婚礼-原神风物之诗琴谱-原琴谱,理查德·克莱德曼,原神-风物之诗琴谱
蒲公英的约定-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
Go Solo-Tom Rosenthal,Tom Rosenthal,流行
Song on the Beach-电影她插曲,Arcade Fire,影视
爱情而已-简单版-杨丞琳,杨丞琳,影视
起风了-ヤキモチ-原神风物之诗琴谱-原琴谱,买辣椒也用券,原神-风物之诗琴谱
天空之城-Castle in the Sky-原神风物之诗琴谱-原琴谱,久石让,原神-风物之诗琴谱
蜗牛与黄鹂鸟-原神风物之诗琴谱-原琴谱,林建昌,原神-风物之诗琴谱
我的好妈妈-原神风物之诗琴谱-原琴谱,未知,原神-风物之诗琴谱
小城夏天-原神风物之诗琴谱-原琴谱,LBI利比,原神-风物之诗琴谱
萱草花-你好李焕英插曲-原神风物之诗琴谱-原琴谱,张小斐,原神-风物之诗琴谱
Leave a Light On-Tom Walker,Tom Walker,流行
Slash-机动战士高达 水星的魔女第2季OP,yama,动漫
曾经爱你永远爱你-伍思凯,伍思凯,流行
鲜烈之龙-鮮烈のリュウ-忍者龙剑传BGM,山岸継司,轻音乐
小螺号-原神风物之诗琴谱-原琴谱,程琳,原神-风物之诗琴谱
小鸭子-原神风物之诗琴谱-原琴谱,小蓓蕾组合 ,原神-风物之诗琴谱
新年好-原神风物之诗琴谱-原琴谱,未知,原神-风物之诗琴谱
找朋友-原神风物之诗琴谱-原琴谱,小蓓蕾组合,原神-风物之诗琴谱
向快乐飞翔-摩尔庄园主题曲-原神风物之诗琴谱-原琴谱,刘丹妮,原神-风物之诗琴谱
小英雄大肚腩-猪猪侠主题曲-原神风物之诗琴谱-原琴谱,周游格,原神-风物之诗琴谱
ハレヴタイ-游戏王SEVENS主题曲,The Brow Beat,动漫
The Addams Family Theme-亚当斯一家主题曲,Jeff Danna,影视
天际线-G调-忍者龙剑传3BGM,茂野理香,轻音乐
小黑猫,刘怡然,原创
Da Capo-崩坏3印象曲-原神风物之诗琴谱-原琴谱,车子玉Ziyu Che,原神-风物之诗琴谱
无垠无忧-原神 纳西妲角色演示-原神风物之诗琴谱-原琴谱,陈致逸,原神-风物之诗琴谱
南极大冒险BGM-溜冰圆舞曲,科乐美,轻音乐
東京上空-东京上空-铃芽之旅OST,野田洋次郎,影视
黑月光-长月烬明ED,张碧晨,影视
泥娃娃,王艺茗,原创
Despacito-原神风物之诗琴谱-原琴谱,Luis Fonsi,原神-风物之诗琴谱
喵帕斯之歌-悠哉日常大王-原神风物之诗琴谱-原琴谱,宫内莲华,原神-风物之诗琴谱
Beautiful-孤单又灿烂的神-鬼怪OST,Crush,影视
Rosalinas Comet Observatory-超级马力欧银河BGM,近藤浩治,轻音乐
界-长月烬明插曲,袁娅维,影视
放风筝,万天赐,原创
春节序曲-原神风物之诗琴谱-原琴谱,李焕之,原神-风物之诗琴谱
I Really Want to Stay at Your House-赛博朋克边缘行者-原神风物之诗琴谱-原琴谱,Rosa Walton,原神-风物之诗琴谱
勇者之路原色村BGM-原神风物之诗琴谱-原琴谱,4399,原神-风物之诗琴谱
ドライブ-铃芽之旅OST,阵内一真,影视
子守り-铃芽之旅OST,阵内一真,影视
Bosun Bill-盗贼之海-Sea of Thieves,Robin Beanland,轻音乐
His Theme-Undertale-传说之下-原神风物之诗琴谱-原琴谱,Toby Fox,原神-风物之诗琴谱
红颜如霜-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
IVORY TOWER-龙族OST-原神风物之诗琴谱-原琴谱,泽野弘之,原神-风物之诗琴谱
月亮船-原神风物之诗琴谱-原琴谱,王英姿,原神-风物之诗琴谱
Opus-坂本龙一,坂本龙一,轻音乐
要不然我们就这样一万年-长月烬明插曲,黄霄雲,影视
Outro House of Cards-防弹少年团,防弹少年团,流行
すずめの涙-铃芽之泪-铃芽之旅OST,RADWIMPS,影视
辣妹子-改编版,宋祖英,民乐
Unravel-东京喰种-原神风物之诗琴谱-原琴谱,Tk from 凛冽时雨,原神-风物之诗琴谱
背背背起了行囊-你看到的我-原神风物之诗琴谱-原琴谱,黄勇,原神-风物之诗琴谱
穷开心-原神风物之诗琴谱-原琴谱,花儿乐队,原神-风物之诗琴谱
I AM-IVE,IVE,流行
Kitsch-IVE,IVE,流行
二人の出逢い-两人的邂逅-铃芽之旅OST,RADWIMPS,影视
Always with Me-いつも何度でも-原神风物之诗琴谱-原琴谱,久石让,原神-风物之诗琴谱
赐我-原神风物之诗琴谱-原琴谱,一只白羊,原神-风物之诗琴谱
造梦西游背景音乐-原神风物之诗琴谱-原琴谱,4399,原神-风物之诗琴谱
FC洞穴勘探者BGM-地下冒险BGM,Tim Martin,轻音乐
Hooked-Why Dont We,Why Don't We,流行
Polaroid Love-ENHYPEN,ENHYPEN,流行
愿与愁-林俊杰,林俊杰,流行
一梦千宵-原神风物之诗琴谱-原琴谱,人形兎,原神-风物之诗琴谱
すずめ-铃芽之旅-原神风物之诗琴谱-原琴谱,十明,原神-风物之诗琴谱
童年-原神风物之诗琴谱-原琴谱,罗大佑,原神-风物之诗琴谱
Daylight-David Kushner,David Kushner,流行
Peaches-超级马力欧兄弟大电影OST,Jack Black,影视
发如雪-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
想见你想见你想见你-原神风物之诗琴谱-原琴谱,八三夭,原神-风物之诗琴谱
命に嫌われている-被生命所厌恶-原神风物之诗琴谱-原琴谱,初音未来,原神-风物之诗琴谱
andata-坂本龙一,坂本龙一,轻音乐
あてもなく-副歌部分-国王排名勇气的宝箱ED,Aimer,流行
寄长月-长月烬明插曲,不才,影视
咆哮-原神风物之诗琴谱-原琴谱,EXO,原神-风物之诗琴谱
闪光舞-C调-CSGO音乐盒-原神风物之诗琴谱-原琴谱,The Verkkars,原神-风物之诗琴谱
Aqua-坂本龙一,坂本龙一,轻音乐
鲸鱼 Dive Into You-NCT Dream,NCT Dream,流行
恶作剧-弹唱谱,王蓝茵,影视
白月光与朱砂痣-简单完整版,大籽,流行
Komorebi-原神风物之诗琴谱-原琴谱,m-taku,原神-风物之诗琴谱
三生石下-原神风物之诗琴谱-原琴谱,大欢,原神-风物之诗琴谱
半岛铁盒-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
太空漫步-Space Walk-崩坏 星穹铁道-原神风物之诗琴谱-原琴谱,HOYO-MiX,原神-风物之诗琴谱
Breaking Down-某天灭亡从我家玄关进来了OST,Ailee,影视
La Vita E Bella-美丽人生,Nicola Piovani,影视
偏爱-简单好听演奏版,张芸京,影视
Blu-坂本龙一,坂本龙一,轻音乐
八音盒 Life Is Still Going On-NCT Dream,NCT Dream,流行
孤雏-简单版-AGA,AGA,流行
叹-原神风物之诗琴谱-原琴谱,黄龄,原神-风物之诗琴谱
As The Deer-如鹿渴慕溪水-简单版,Martin J. Nystrom,经典
Waterfall-Jon Schmidt-The Piano Guys,Jon Schmidt,轻音乐
大鱼-原神风物之诗琴谱-原琴谱,周深,原神-风物之诗琴谱
我可以-原神风物之诗琴谱-原琴谱,蔡旻佑,原神-风物之诗琴谱
Miracle-Calvin Harris ft Ellie Goulding,Calvin Harris,流行
Wish You the Best-Lewis Capaldi,Lewis Capaldi,流行
メフィスト-Mephisto-梅菲斯特-我推的孩子ED,女王蜂,动漫
加油鸭,好好（张轩睿）,儿歌
千本樱-原神风物之诗琴谱-原琴谱,初音未来,原神-风物之诗琴谱
Chemical-Post Malone,Post Malone,流行
Crossing Field-刀剑神域,LiSA,动漫
People-Libianca,Libianca,流行
In the Night Garden Opening Theme-花园宝宝片头曲,Andrew Davenport,流行
Boat-Ed Sheeran,Ed Sheeran,流行
Esta Vida-Marshmello ft Farruko,Marshmello,流行
起风了-超简版-ヤキモチ,买辣椒也用券,流行
絆ノ奇跡-鬼灭之刃锻刀村篇-原神风物之诗琴谱-原琴谱,Man with a Mission,原神-风物之诗琴谱
踏上旅途-崩坏星穹铁道-原神风物之诗琴谱-原琴谱,HOYO-MiX,原神-风物之诗琴谱
原神七七角色演示-冰寒流转-原神风物之诗琴谱-原琴谱,陈致逸,原神-风物之诗琴谱
Dancing in the Moonlight-王牌保镖OST,King Harvest,影视
Dogsong-Undertale-传说之下,Toby Fox,轻音乐
遍插茱萸少一人,王志信,流行
大角牛之歌-小牛向前冲主题曲,韩磊,动漫
人间这一遭-木杰,木杰,流行
爱在西元前-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
花仙子之歌-花の子ルンルン-原神风物之诗琴谱-原琴谱,堀江美都子,原神-风物之诗琴谱
一花一剑-天官赐福插曲-原神风物之诗琴谱-原琴谱,李鑫一,原神-风物之诗琴谱
The Astronaut-Jin-防弹少年团,Jin,流行
My Way-Frank Sinatra,Frank Sinatra,流行
Have We Met Before,Sarah Barrios,流行
Scars Leave Beautiful Trace-还魂OST,Car,影视
Turbulence-夜间飞行-ATEEZ,ATEEZ,流行
花园种花-在小小的花园里面挖呀挖呀挖-四手联弹版,小葱老师,儿歌
虚しい祈り-空虚的祈祷-美少女万华镜 -勿忘草与永远的少女-BGM,秋山裕和,轻音乐
So Far Away-原神风物之诗琴谱-原琴谱,Martin Garrix,原神-风物之诗琴谱
男儿当自强-震撼版-原神风物之诗琴谱-原琴谱,林子祥,原神-风物之诗琴谱
Hero-Alan Walker ft Sasha Alex Sloan,Alan Walker,流行
一时的选择-林俊杰,林俊杰,流行
红娃娃,张荣辉,儿歌
开心消消乐BGM,乐元素,轻音乐
阿里郎-A li lang-Arirang,龚耀年,民乐
Second Chance-歌舞青春再谱乐曲系列OST,Mitch Allan,影视
孤独娱乐-林俊杰,林俊杰,流行
山鬼-原神风物之诗琴谱-原琴谱,Winky诗,原神-风物之诗琴谱
雪 Distance-原神风物之诗琴谱-原琴谱,Capper,原神-风物之诗琴谱
Shining Boy And Little Randy-星星少年,坂本龙一,轻音乐
极乐净土-C调简单版-極楽浄土,GARNiDELiA,流行
碧波摇篮曲-小鲤鱼历险记插曲,陈红,动漫
Curtains-Ed Sheeran,Ed Sheeran,流行
Double Fantasy-偶像漩涡OST-The Idol OST,The Weeknd,影视
Transparent Night-莹澈的夜-原神风物之诗琴谱-原琴谱,姜以君,原神-风物之诗琴谱
红绝-天官赐福-原神风物之诗琴谱-原琴谱,胡夏,原神-风物之诗琴谱
M01-空之境界 杀人考察 前 插曲-原神风物之诗琴谱-原琴谱,梶浦由记,原神-风物之诗琴谱
云与海-原神风物之诗琴谱-原琴谱,阿YueYue,原神-风物之诗琴谱
Aching-还魂OST,Kassy,影视
Dont Look Back in Anger-Oasis,Oasis,流行
麦浪-风往麦田吹来 在轻晃着我裙摆,yihuik苡慧,流行
Somewhere in Time-C调简单版,John Barry,影视
猫和老鼠主题曲-Tom and Jerry Theme,Scott Bradley,动漫
白诘草-白詰草-CLANNAD插曲-原神风物之诗琴谱-原琴谱,折户伸治,原神-风物之诗琴谱
晚夜微雨问海棠-原神风物之诗琴谱-原琴谱,镜予歌,原神-风物之诗琴谱
杜鹃圆舞曲-Gökvalsen-The Cuckoo Waltz,约翰·埃曼努埃尔 ·约纳森,经典
The Godfather Waltz-教父插曲,Nino Rota,影视
一路向北-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
只因你太美-原神风物之诗琴谱-原琴谱,SWIN-S,原神-风物之诗琴谱
Jaded-Miley Cyrus,Miley Cyrus,流行
夏日梦舞-Summer Daydreams-Kevin Kern,Kevin Kern,轻音乐
浮游-护心主题曲,周深,影视
Meltdown-Niall Horan,Niall Horan,流行
Satellite-Harry Styles,Harry Styles,流行
Take On Me-带我走-简单版-A-ha,A-ha,流行
Tennessee-珍珠港OST,Hans Zimmer,影视
来生再续未了情,尚亿哥,流行
雪 Distance-原神风物之诗琴谱-原琴谱,Capper,原神-风物之诗琴谱
Geralt of Rivia-巫师3 狂猎,Marcin Przybyłowicz,轻音乐
Night Changes-钢琴版-夜色渐浓,One Direction,流行
字字句句-他字字未提喜欢你 你句句都是我愿意,张碧晨,流行
美丽的神话-伴奏谱,孙楠,影视
微风细雨-简单好听版-邓丽君,邓丽君,流行
只有寂静的夜晚-七七印象曲,殇小默,原创
霜雪千年-原神风物之诗琴谱-原琴谱,洛天依,原神-风物之诗琴谱
隔岸-原神风物之诗琴谱-原琴谱,姚六一,原神-风物之诗琴谱
所念皆星河-原神风物之诗琴谱-原琴谱,CMJ,原神-风物之诗琴谱
4 OClock,V,流行
Leaves From The Vine-降世神通最后的气宗OST,岩松信,动漫
Song For The Lord-献给阁下的歌-班得瑞-Bandari,班得瑞,轻音乐
Disy Doby-逗逗迪迪爱探险片头曲,网络歌手,动漫
2000-原创生日歌,殇小默,原创
卡农-原神风物之诗琴谱-原琴谱,Johann Pachelbel,原神-风物之诗琴谱
快乐星猫-原神风物之诗琴谱-原琴谱,牛奶咖啡,原神-风物之诗琴谱
Arranca-Becky G ft Omega,Becky G,流行
Middle Ground-Maroon 5,Maroon 5,流行
Smoke on the Water-Deep Purple,Deep Purple,流行
缤纷的彩虹-逗逗迪迪爱探险ED,温杨洁,动漫
美丽的神话-旋律伴奏谱,孙楠,影视
Azure Rainforest-世界树迷宫,古代祐三,轻音乐
巴啦啦小魔仙,大小Ann,影视
花与树的女儿们-Maidens of Sanctity-原神,姜以君,轻音乐
开往早晨的午夜-张碧晨,张碧晨,流行
竜の少年-白龙少年-千与千寻插曲,久石让,影视
永远的奥特曼-迪迦奥特曼中文片尾曲,LINE,影视
安静-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
Hold the Line-Toto,Toto,流行
Je Vole-简单版-Michel Sardou,Michel Sardou,流行
空蝉-Man of the World-火影忍者疾风传OST,高梨康治,动漫
音乐盒舞者-Music Box Dancer-完整好听版,理查德·克莱德曼,经典
真心-后天的方向OST,光宗信吉,动漫
終わりにまた言葉ありき-双面骑士OST,大岛满,动漫
That Girl 那个女孩-原神风物之诗琴谱-原琴谱,Olly Murs,原神-风物之诗琴谱
玫瑰少年-原神风物之诗琴谱-原琴谱,蔡依林,原神-风物之诗琴谱
雪野原-CLANNAD-原神风物之诗琴谱-原琴谱,折户伸治,原神-风物之诗琴谱
Goodbye Again and Again-刀剑神域-原神风物之诗琴谱-原琴谱,梶浦由记,原神-风物之诗琴谱
O-Fly On-简单伴奏谱-Coldplay,Coldplay,流行
Far Horizons-上古卷轴5天际BGM,Jeremy Soule,轻音乐
Kaer Morhen-巫师3狂猎BGM,Marcin Przybylowicz,轻音乐
听悲伤的情歌-看离别的戏 我突然就好想你-原调简单版,苏星婕,流行
Dragostea Din Tei-不怕不怕,O-Zone,流行
Never Forget-光环3背景音乐,Martin O'Donnell,轻音乐
如果突然想起我-If You Suddenly Think Of Me-原神生日会,ChiliChill,流行
踢踏舞曲-Tap Dance,龚耀年,民乐
鸭绿江水长-The Long Ya lu River,龚耀年,民乐
说好的幸福呢-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
口袋妖怪红宝石蓝宝石主题曲-Pokemon Red and Blue Title Theme,增田顺一,轻音乐
The Roost-欢迎来到动物森友会BGM,户高一生,轻音乐
See You Again-Tyler the Creator,Tyler the Creator,流行
阿瑠之歌,殇小默,原创
快点告诉你-动画城主题曲,苑冉,影视
还在流浪-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
花海-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
Love Is Gone-原神风物之诗琴谱-原琴谱,Slander,原神-风物之诗琴谱
嵐の歌-岚之歌-Song of Storms-塞尔达传说时之笛BGM,近藤浩治,轻音乐
勇敢的心世界大战主题曲-Valiant Hearts The Great War Main Menu Theme,Ian Livingstone,轻音乐
煎熬-心一跳爱就开始煎熬 每一分每一秒,李佳薇,流行
来生缘-完整好听版,刘德华,流行
猎人之歌-The Hunters Song,龚耀年,民乐
圆圆的-Something Round,龚耀年,民乐
Best of Me-防弹少年团,防弹少年团,流行
Bloody Mary-Lady Gaga,Lady Gaga,流行
黄昏-好听版,周传雄,流行
到春来-The Spring Comes,龚耀年,民乐
嘎贡拉-Ge Gong La,龚耀年,民乐
Normal No More-原神风物之诗琴谱-原琴谱,TYSM,原神-风物之诗琴谱
可愛くてごめん-这么可爱真是抱歉-原神风物之诗琴谱-原琴谱,HoneyWorks,原神-风物之诗琴谱
House Stark Medley-权力的游戏,Ramin Djawadi,影视
Rasputin-拉斯普京-Boney M,Boney M.,流行
奥特曼与怪兽之歌-原创,殇小默,原创
东海出太阳-The Sun Rises from the East China Sea,龚耀年,民乐
葬花-完美版,THT,轻音乐
Something Just Like This-原神风物之诗琴谱-原琴谱,The Chainsmokers,原神-风物之诗琴谱
神よ その黄昏よ-Twilight of the Gods-焰之纹章 回声 另一位英雄王BGM,辻横由佳,轻音乐
From Me To You-我的英雄学院第二季OST,林友树,动漫
From Past to Present-上古卷轴5天际BGM,Jeremy Soule,轻音乐
节日舞曲-Festive Dance,龚耀年,民乐
雪白的云朵-Clouds White as Snow,龚耀年,民乐
TruE-崩坏3-原神风物之诗琴谱-原琴谱,黄龄,原神-风物之诗琴谱
奥摩斯港-原神风物之诗琴谱-原琴谱,HOYO-MiX,原神-风物之诗琴谱
Is There Still Anything That Love Can Do-简单版-愛にできることはまだあるかい,RADWIMPS,影视
Liquid Smooth-Mitski,Mitski,流行
Romance In the Air-塞尔达传说 御天之剑BGM,濱剛,轻音乐
フンフンフン だよ、らき すた-幸运星BGM,神前晓,动漫
农夫歌-The Peasants Song,龚耀年,原创
潮鳴り-潮鸣り-CLANNAD-原神风物之诗琴谱-原琴谱,折户伸治,原神-风物之诗琴谱
At the Ivy Gates-Brian Crain,Brian Crain,轻音乐
Luma-超级马力欧银河BGM,横田真人,轻音乐
Me Cuesta Tanto Olvidarte-Mecano,Mecano,流行
太阳照四方-The Sun Shines Over Everywhere,龚耀年,民乐
赐我-原神风物之诗琴谱-原琴谱,一只白羊,原神-风物之诗琴谱
打上花火-原神风物之诗琴谱-原琴谱,米津玄师,原神-风物之诗琴谱
给我一首歌的时间-原神风物之诗琴谱-原琴谱,周杰伦,原神-风物之诗琴谱
Chi Mai-Ennio Morricone,Ennio Morricone,流行
Cool Cool Mountain-超级马力欧64背景音乐,近藤浩治,轻音乐
氷点-G调-冰点,玉置浩二,流行
春风十里-原调简单版,鹿先森乐队,流行
青年参军-The Youth Joining the Army,龚耀年,民乐
我的花儿-My Flowers,龚耀年,民乐
